Style|SKU|prediction|count
JNE3605|JNE3605-KR-L|7|2
JNE3516|JNE3516-KR-M|7|2
J0088|J0088-TP-M|7|2
SET210|SET210-KR-PP-XXL|7|2
JNE3635|JNE3635-KR-L|7|2
JNE3449|JNE3449-KR-XXXL|7|2
JNE3373|JNE3373-KR-M|7|2
JNE3348|JNE3348-KR-XXXL|7|2
JNE3563|JNE3563-KR-M|7|2
JNE3415|JNE3415-KR-S|7|2
JNE3640|JNE3640-TP-XL|7|2
JNE2132|JNE2132-KR-398-XXL|7|2
JNE3348|JNE3348-KR-L|7|2
MEN5016|MEN5016-KR-L|7|2
JNE2132|JNE2132-KR-398-XXXL|7|2
MEN5031|MEN5031-KR-XL|7|2
JNE3635|JNE3635-KR-XS|7|2
J0208|J0208-DR-S|7|2
JNE3640|JNE3640-TP-S|7|2
JNE3252|JNE3252-KR-M|7|2
JNE3642|JNE3642-TP-S|7|2
JNE3640|JNE3640-TP-XXL|7|2
J0190|J0190-TP-XL|7|2
SET044|SET044-KR-NP-L|7|2
JNE3464|JNE3464-KR-XXXL|7|2
JNE2251|JNE2251-KR-537-M|7|2
JNE3563|JNE3563-KR-XXL|7|2
JNE3635|JNE3635-KR-XL|7|2
J0166|J0166-DR-XS|7|2
J0138|J0138-KR-XXXL|7|2
JNE3437|JNE3437-KR-M|7|2
MEN5031|MEN5031-KR-XXL|7|2
JNE3674|JNE3674-TU-M|7|2
J0212|J0212-DR-S|7|2
J0209|J0209-DR-S|7|2
J0339|J0339-DR-XS|7|2
J0090|J0090-TP-M|7|2
JNE2113|JNE2113-KR-381-S|7|2
SET236|SET236-KR-PP-XXL|7|2
J0084|J0084-TP-S|7|2
JNE3516|JNE3516-KR-XXXL|7|2
MEN5021|MEN5021-KR-XL|7|2
JNE2307|JNE2307-KR-572-XL|7|2
MEN5019|MEN5019-KR-XL|7|2
JNE2100|JNE2100-KR-144-L|7|2
J0292|J0292-TP-L|7|2
J0154|J0154-DR-XL|7|2
J0335|J0335-DR-XL|7|2
SET044|SET044-KR-NP-S|7|2
MEN5025|MEN5025-KR-XXL|7|2
J0118|J0118-TP-XL|7|2
JNE3252|JNE3252-KR-L|7|2
JNE3252|JNE3252-KR-XXL|7|2
MEN5032|MEN5032-KR-L|7|2
JNE3348|JNE3348-KR-XXL|7|2
SET240|SET240-KR-PP-S|7|2
JNE2205|JNE2205-KR-467-XL|7|2
J0335|J0335-DR-L|7|2
JNE3373|JNE3373-KR-XXXL|7|2
JNE3383|JNE3383-KR-M|7|2
JNE3554|JNE3554-KR-XXL|7|2
SET038|SET038-KR-PP-XS|7|2
JNE3373|JNE3373-KR-XL|7|2
JNE3577|JNE3577-KR-XL|7|2
JNE2307|JNE2307-KR-572-XXL|7|2
JNE3673|JNE3673-TU-XL|7|2
J0178|J0178-TP-M|7|2
